,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
63,1065,1,1,Castagnole Piemonte,Torino,Piemonte,2195,TO,0.013947665569786195,0.7985193133354187
64,1066,1,1,Castellamonte,Torino,Piemonte,9842,TO,0.1374613171410073,0.6604528427124023
65,1067,1,1,Castelnuovo Nigra,Torino,Piemonte,416,TO,0.12417041332592214,0.34550419449806213
66,1068,1,1,Castiglione Torinese,Torino,Piemonte,6501,TO,0.08742251986249337,0.7321990132331848
67,1069,1,1,Cavagnolo,Torino,Piemonte,2288,TO,0.06482271338065718,0.5657608509063721
68,1070,1,1,Cavour,Torino,Piemonte,5480,TO,0.014868844181963657,0.7973746359348297
69,1071,1,1,Cercenasco,Torino,Piemonte,1787,TO,0.017355660199514577,0.7842226028442383
70,1072,1,1,Ceres,Torino,Piemonte,1036,TO,0.07845497615761814,0.3258700370788574
71,1073,1,1,Ceresole Reale,Torino,Piemonte,161,TO,0.06298919888429663,0.208732508122921
72,1074,1,1,Cesana Torinese,Torino,Piemonte,951,TO,0.10303900400898673,0.29541561007499695
73,1075,1,1,Chialamberto,Torino,Piemonte,356,TO,0.06725277628316749,0.2960257828235626
74,1076,1,1,Chianocco,Torino,Piemonte,1595,TO,0.13214895071472238,0.44522780179977417
75,1077,1,1,Chiaverano,Torino,Piemonte,2055,TO,0.06328121031275426,0.6049782633781433
76,1078,1,1,Chieri,Torino,Piemonte,36413,TO,0.01404702534935374,0.8333725035190582
77,1079,1,1,Chiesanuova,Torino,Piemonte,217,TO,0.09263487231603841,0.5725939869880676
78,1080,1,1,Chiomonte,Torino,Piemonte,885,TO,0.05221496619494031,0.3453478217124939
79,1081,1,1,Chiusa di San Michele,Torino,Piemonte,1598,TO,0.10795290334920662,0.520372211933136
80,1082,1,1,Chivasso,Torino,Piemonte,26730,TO,0.06047023508985074,0.826841413974762
81,1083,1,1,Ciconio,Torino,Piemonte,384,TO,0.043330921089588366,0.7925837337970734
82,1084,1,1,Cintano,Torino,Piemonte,241,TO,0.08862227519324532,0.45628443360328674
83,1085,1,1,Cinzano,Torino,Piemonte,326,TO,0.050867367945769834,0.5278360843658447
84,1086,1,1,Ciriè,Torino,Piemonte,18244,TO,0.04633518223821814,0.808587908744812
85,1087,1,1,Claviere,Torino,Piemonte,198,TO,0.0397712606289001,0.35703396797180176
86,1088,1,1,Coassolo Torinese,Torino,Piemonte,1488,TO,0.12893241450434198,0.3744947016239166
87,1089,1,1,Coazze,Torino,Piemonte,3127,TO,0.07048302082428926,0.33825814723968506
88,1090,1,1,Collegno,Torino,Piemonte,49539,TO,0.027154740195992545,0.8764336109161377
89,1091,1,1,Colleretto Castelnuovo,Torino,Piemonte,299,TO,0.08699734280180818,0.5048663914203644
90,1092,1,1,Colleretto Giacosa,Torino,Piemonte,585,TO,0.026645178365588277,0.7479149103164673
91,1093,1,1,Condove,Torino,Piemonte,4489,TO,0.09897675266770042,0.42169129848480225
92,1094,1,1,Corio,Torino,Piemonte,3169,TO,0.11508217500831987,0.4263979196548462
93,1095,1,1,Cossano Canavese,Torino,Piemonte,464,TO,0.04159139088819207,0.5547656416893005
94,1096,1,1,Cuceglio,Torino,Piemonte,954,TO,0.06951920091399166,0.7221825420856476
95,1097,1,1,Cumiana,Torino,Piemonte,7889,TO,0.1524893627060287,0.723781406879425
96,1098,1,1,Cuorgnè,Torino,Piemonte,9614,TO,0.11781781006735219,0.7010380923748016
97,1099,1,1,Druento,Torino,Piemonte,8909,TO,0.11603342013048146,0.6513667404651642
98,1100,1,1,Exilles,Torino,Piemonte,239,TO,0.0727062017494725,0.2615317106246948
99,1101,1,1,Favria,Torino,Piemonte,5154,TO,0.03110842078754915,0.8078145086765289
100,1102,1,1,Feletto,Torino,Piemonte,2206,TO,0.0786054957780848,0.7311753928661346
101,1103,1,1,Fenestrelle,Torino,Piemonte,506,TO,0.11152384103833973,0.27042849361896515
102,1104,1,1,Fiano,Torino,Piemonte,2635,TO,0.07575066872117807,0.6131893396377563
103,1105,1,1,Fiorano Canavese,Torino,Piemonte,763,TO,0.07900066503374387,0.7168965339660645
104,1106,1,1,Foglizzo,Torino,Piemonte,2277,TO,0.07384945773707051,0.7599820494651794
105,1107,1,1,Forno Canavese,Torino,Piemonte,3307,TO,0.08984928037875706,0.44447070360183716
106,1108,1,1,Frassinetto,Torino,Piemonte,265,TO,0.10905195034899944,0.35234567523002625
107,1109,1,1,Front,Torino,Piemonte,1658,TO,0.06690456951491505,0.6781768798828125
108,1110,1,1,Frossasco,Torino,Piemonte,2879,TO,0.15667137160510597,0.7874688506126404
109,1111,1,1,Garzigliana,Torino,Piemonte,548,TO,0.038718637055388694,0.7604871988296509
110,1112,1,1,Gassino Torinese,Torino,Piemonte,9377,TO,0.06909050575602656,0.715448260307312
