,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
65,1067,1,1,Castelnuovo Nigra,Torino,Piemonte,416,TO,88.03695988062985,1298.4637451171875
66,1068,1,1,Castiglione Torinese,Torino,Piemonte,6501,TO,19.04781900127283,1390.8720703125
67,1069,1,1,Cavagnolo,Torino,Piemonte,2288,TO,11.002202033285304,1387.219482421875
68,1070,1,1,Cavour,Torino,Piemonte,5480,TO,8.265428571442381,1451.6861572265625
69,1071,1,1,Cercenasco,Torino,Piemonte,1787,TO,2.802893752653613,1458.0780029296875
70,1072,1,1,Ceres,Torino,Piemonte,1036,TO,108.6339834826772,1269.9742431640625
71,1073,1,1,Ceresole Reale,Torino,Piemonte,161,TO,160.49972816398082,1347.224609375
72,1074,1,1,Cesana Torinese,Torino,Piemonte,951,TO,105.43264846304756,1471.9574584960938
73,1075,1,1,Chialamberto,Torino,Piemonte,356,TO,130.5698653200244,1352.520751953125
74,1076,1,1,Chianocco,Torino,Piemonte,1595,TO,41.2278821805862,1401.0989990234375
75,1077,1,1,Chiaverano,Torino,Piemonte,2055,TO,14.748050846380112,1397.446533203125
76,1078,1,1,Chieri,Torino,Piemonte,36413,TO,3.4844152478287853,1423.9271240234375
77,1079,1,1,Chiesanuova,Torino,Piemonte,217,TO,11.987215774531743,1390.5067138671875
78,1080,1,1,Chiomonte,Torino,Piemonte,885,TO,98.01900752349239,1284.584228515625
79,1081,1,1,Chiusa di San Michele,Torino,Piemonte,1598,TO,96.9268659057652,1139.5799560546875
80,1082,1,1,Chivasso,Torino,Piemonte,26730,TO,10.755943806692427,1429.5885009765625
81,1083,1,1,Ciconio,Torino,Piemonte,384,TO,1.1222389018843553,1450.40771484375
82,1084,1,1,Cintano,Torino,Piemonte,241,TO,23.159370497174475,1326.7706298828125
83,1085,1,1,Cinzano,Torino,Piemonte,326,TO,13.863033376939473,1400.5510864257812
84,1086,1,1,Ciriè,Torino,Piemonte,18244,TO,4.461177559855274,1441.8243408203125
85,1087,1,1,Claviere,Torino,Piemonte,198,TO,24.92077823343694,1492.4114990234375
86,1088,1,1,Coassolo Torinese,Torino,Piemonte,1488,TO,36.59566995524932,1372.2442626953125
87,1089,1,1,Coazze,Torino,Piemonte,3127,TO,90.15696542531245,1306.499267578125
88,1090,1,1,Collegno,Torino,Piemonte,49539,TO,5.62094125820006,1436.8935546875
89,1091,1,1,Colleretto Castelnuovo,Torino,Piemonte,299,TO,17.37582803722763,1348.5029296875
90,1092,1,1,Colleretto Giacosa,Torino,Piemonte,585,TO,2.655482811289936,1412.0565185546875
91,1093,1,1,Condove,Torino,Piemonte,4489,TO,39.93541488975848,1425.93603515625
92,1094,1,1,Corio,Torino,Piemonte,3169,TO,41.212280677797324,1344.4852294921875
93,1095,1,1,Cossano Canavese,Torino,Piemonte,464,TO,7.114811011637316,1431.780029296875
94,1096,1,1,Cuceglio,Torino,Piemonte,954,TO,2.2881190033036543,1439.9981079101562
95,1097,1,1,Cumiana,Torino,Piemonte,7889,TO,75.70315139847669,1416.8046875
96,1098,1,1,Cuorgnè,Torino,Piemonte,9614,TO,44.785275761327235,1367.4959716796875
97,1099,1,1,Druento,Torino,Piemonte,8909,TO,5.69841796715194,1438.7197265625
98,1100,1,1,Exilles,Torino,Piemonte,239,TO,143.65378530227315,1430.684326171875
