cod_com,den_com,sigla,cod_prov,den_prov,cod_reg,den_reg,pop
1109,Front,TO,1,Torino,1,Piemonte,1658
1110,Frossasco,TO,1,Torino,1,Piemonte,2879
1111,Garzigliana,TO,1,Torino,1,Piemonte,548
1112,Gassino Torinese,TO,1,Torino,1,Piemonte,9377
1113,Germagnano,TO,1,Torino,1,Piemonte,1133
1114,Giaglione,TO,1,Torino,1,Piemonte,609
1115,Giaveno,TO,1,Torino,1,Piemonte,16257
1116,Givoletto,TO,1,Torino,1,Piemonte,3959
1117,Gravere,TO,1,Torino,1,Piemonte,673
1118,Groscavallo,TO,1,Torino,1,Piemonte,197
1119,Grosso,TO,1,Torino,1,Piemonte,981
1120,Grugliasco,TO,1,Torino,1,Piemonte,36928
1121,Ingria,TO,1,Torino,1,Piemonte,45
1122,Inverso Pinasca,TO,1,Torino,1,Piemonte,700
1123,Isolabella,TO,1,Torino,1,Piemonte,380
1124,Issiglio,TO,1,Torino,1,Piemonte,397
1125,Ivrea,TO,1,Torino,1,Piemonte,23215
1126,La Cassa,TO,1,Torino,1,Piemonte,1783
1127,La Loggia,TO,1,Torino,1,Piemonte,8834
1128,Lanzo Torinese,TO,1,Torino,1,Piemonte,4945
1129,Lauriano,TO,1,Torino,1,Piemonte,1469
1130,Leini,TO,1,Torino,1,Piemonte,16398
1131,Lemie,TO,1,Torino,1,Piemonte,174
1132,Lessolo,TO,1,Torino,1,Piemonte,1792
1133,Levone,TO,1,Torino,1,Piemonte,444
1134,Locana,TO,1,Torino,1,Piemonte,1434
1135,Lombardore,TO,1,Torino,1,Piemonte,1719
1136,Lombriasco,TO,1,Torino,1,Piemonte,1049
1137,Loranzè,TO,1,Torino,1,Piemonte,1153
1139,Luserna San Giovanni,TO,1,Torino,1,Piemonte,7262
1140,Lusernetta,TO,1,Torino,1,Piemonte,509
1141,Lusigliè,TO,1,Torino,1,Piemonte,567
1142,Macello,TO,1,Torino,1,Piemonte,1161
1143,Maglione,TO,1,Torino,1,Piemonte,412
1144,Marentino,TO,1,Torino,1,Piemonte,1301
1145,Massello,TO,1,Torino,1,Piemonte,53
1146,Mathi,TO,1,Torino,1,Piemonte,3879
1147,Mattie,TO,1,Torino,1,Piemonte,665
1148,Mazzè,TO,1,Torino,1,Piemonte,4123
1149,Meana di Susa,TO,1,Torino,1,Piemonte,824
1150,Mercenasco,TO,1,Torino,1,Piemonte,1253
1152,Mezzenile,TO,1,Torino,1,Piemonte,763
1153,Mombello di Torino,TO,1,Torino,1,Piemonte,381
1154,Mompantero,TO,1,Torino,1,Piemonte,645
1155,Monastero di Lanzo,TO,1,Torino,1,Piemonte,335
1156,Moncalieri,TO,1,Torino,1,Piemonte,56737
1157,Moncenisio,TO,1,Torino,1,Piemonte,32
1158,Montaldo Torinese,TO,1,Torino,1,Piemonte,711
1159,Montalenghe,TO,1,Torino,1,Piemonte,992
1160,Montalto Dora,TO,1,Torino,1,Piemonte,3373
1161,Montanaro,TO,1,Torino,1,Piemonte,5191
1162,Monteu da Po,TO,1,Torino,1,Piemonte,834
1163,Moriondo Torinese,TO,1,Torino,1,Piemonte,851
1164,Nichelino,TO,1,Torino,1,Piemonte,46957
1165,Noasca,TO,1,Torino,1,Piemonte,110
1166,Nole,TO,1,Torino,1,Piemonte,6829
1167,Nomaglio,TO,1,Torino,1,Piemonte,295
1168,None,TO,1,Torino,1,Piemonte,7969
1169,Novalesa,TO,1,Torino,1,Piemonte,528
1170,Oglianico,TO,1,Torino,1,Piemonte,1455
1171,Orbassano,TO,1,Torino,1,Piemonte,23284
1172,Orio Canavese,TO,1,Torino,1,Piemonte,764
1173,Osasco,TO,1,Torino,1,Piemonte,1167
1174,Osasio,TO,1,Torino,1,Piemonte,912
1175,Oulx,TO,1,Torino,1,Piemonte,3319
1176,Ozegna,TO,1,Torino,1,Piemonte,1181
1177,Palazzo Canavese,TO,1,Torino,1,Piemonte,851
1178,Pancalieri,TO,1,Torino,1,Piemonte,2038
1179,Parella,TO,1,Torino,1,Piemonte,417
1180,Pavarolo,TO,1,Torino,1,Piemonte,1116
1181,Pavone Canavese,TO,1,Torino,1,Piemonte,3749
1183,Pecetto Torinese,TO,1,Torino,1,Piemonte,4083
1184,Perosa Argentina,TO,1,Torino,1,Piemonte,3176
1185,Perosa Canavese,TO,1,Torino,1,Piemonte,526
1186,Perrero,TO,1,Torino,1,Piemonte,626
1187,Pertusio,TO,1,Torino,1,Piemonte,748
1188,Pessinetto,TO,1,Torino,1,Piemonte,616
1189,Pianezza,TO,1,Torino,1,Piemonte,15448
1190,Pinasca,TO,1,Torino,1,Piemonte,2894
1191,Pinerolo,TO,1,Torino,1,Piemonte,35695
1192,Pino Torinese,TO,1,Torino,1,Piemonte,8413
1193,Piobesi Torinese,TO,1,Torino,1,Piemonte,3880
1194,Piossasco,TO,1,Torino,1,Piemonte,18167
1195,Piscina,TO,1,Torino,1,Piemonte,3364
1196,Piverone,TO,1,Torino,1,Piemonte,1365
1197,Poirino,TO,1,Torino,1,Piemonte,10153
1198,Pomaretto,TO,1,Torino,1,Piemonte,993
1199,Pont Canavese,TO,1,Torino,1,Piemonte,3210
1200,Porte,TO,1,Torino,1,Piemonte,1052
1201,Pragelato,TO,1,Torino,1,Piemonte,751
1202,Prali,TO,1,Torino,1,Piemonte,252
1203,Pralormo,TO,1,Torino,1,Piemonte,1892
1204,Pramollo,TO,1,Torino,1,Piemonte,219
1205,Prarostino,TO,1,Torino,1,Piemonte,1265
1206,Prascorsano,TO,1,Torino,1,Piemonte,733
1207,Pratiglione,TO,1,Torino,1,Piemonte,480
1208,Quagliuzzo,TO,1,Torino,1,Piemonte,329
1209,Quassolo,TO,1,Torino,1,Piemonte,355
1210,Quincinetto,TO,1,Torino,1,Piemonte,1034
1211,Reano,TO,1,Torino,1,Piemonte,1750
1212,Ribordone,TO,1,Torino,1,Piemonte,49
1213,Rivalba,TO,1,Torino,1,Piemonte,1156
1214,Rivalta di Torino,TO,1,Torino,1,Piemonte,19978
1215,Riva presso Chieri,TO,1,Torino,1,Piemonte,4762
1216,Rivara,TO,1,Torino,1,Piemonte,2519
1217,Rivarolo Canavese,TO,1,Torino,1,Piemonte,12501
1218,Rivarossa,TO,1,Torino,1,Piemonte,1571
1219,Rivoli,TO,1,Torino,1,Piemonte,47597
1220,Robassomero,TO,1,Torino,1,Piemonte,3056
1221,Rocca Canavese,TO,1,Torino,1,Piemonte,1700
1222,Roletto,TO,1,Torino,1,Piemonte,2010
1223,Romano Canavese,TO,1,Torino,1,Piemonte,2657
1224,Ronco Canavese,TO,1,Torino,1,Piemonte,297
1225,Rondissone,TO,1,Torino,1,Piemonte,1859
1226,Rorà,TO,1,Torino,1,Piemonte,231
1227,Roure,TO,1,Torino,1,Piemonte,793
1228,Rosta,TO,1,Torino,1,Piemonte,4925
1229,Rubiana,TO,1,Torino,1,Piemonte,2368
1230,Rueglio,TO,1,Torino,1,Piemonte,784
1231,Salassa,TO,1,Torino,1,Piemonte,1843
1232,Salbertrand,TO,1,Torino,1,Piemonte,625
1233,Salerano Canavese,TO,1,Torino,1,Piemonte,468
1234,Salza di Pinerolo,TO,1,Torino,1,Piemonte,75
1235,Samone,TO,1,Torino,1,Piemonte,1539
1236,San Benigno Canavese,TO,1,Torino,1,Piemonte,6000
1237,San Carlo Canavese,TO,1,Torino,1,Piemonte,4009
1238,San Colombano Belmonte,TO,1,Torino,1,Piemonte,339
1239,San Didero,TO,1,Torino,1,Piemonte,528
1240,San Francesco al Campo,TO,1,Torino,1,Piemonte,4834
1241,Sangano,TO,1,Torino,1,Piemonte,3746
1242,San Germano Chisone,TO,1,Torino,1,Piemonte,1750
1243,San Gillio,TO,1,Torino,1,Piemonte,3101
1244,San Giorgio Canavese,TO,1,Torino,1,Piemonte,2556
1245,San Giorio di Susa,TO,1,Torino,1,Piemonte,978
1246,San Giusto Canavese,TO,1,Torino,1,Piemonte,3299
1247,San Martino Canavese,TO,1,Torino,1,Piemonte,805
1248,San Maurizio Canavese,TO,1,Torino,1,Piemonte,10279
1249,San Mauro Torinese,TO,1,Torino,1,Piemonte,18647
1250,San Pietro Val Lemina,TO,1,Torino,1,Piemonte,1423
1251,San Ponso,TO,1,Torino,1,Piemonte,263
1252,San Raffaele Cimena,TO,1,Torino,1,Piemonte,3098
1253,San Sebastiano da Po,TO,1,Torino,1,Piemonte,1893
1254,San Secondo di Pinerolo,TO,1,Torino,1,Piemonte,3677
1255,Sant'Ambrogio di Torino,TO,1,Torino,1,Piemonte,4684
1256,Sant'Antonino di Susa,TO,1,Torino,1,Piemonte,4169
1257,Santena,TO,1,Torino,1,Piemonte,10637
1258,Sauze di Cesana,TO,1,Torino,1,Piemonte,241
1259,Sauze d'Oulx,TO,1,Torino,1,Piemonte,1082
1260,Scalenghe,TO,1,Torino,1,Piemonte,3263
1261,Scarmagno,TO,1,Torino,1,Piemonte,826
1262,Sciolze,TO,1,Torino,1,Piemonte,1453
1263,Sestriere,TO,1,Torino,1,Piemonte,921
1264,Settimo Rottaro,TO,1,Torino,1,Piemonte,466
1265,Settimo Torinese,TO,1,Torino,1,Piemonte,47006
1266,Settimo Vittone,TO,1,Torino,1,Piemonte,1541
1267,Sparone,TO,1,Torino,1,Piemonte,961
1268,Strambinello,TO,1,Torino,1,Piemonte,269
1269,Strambino,TO,1,Torino,1,Piemonte,6170
1270,Susa,TO,1,Torino,1,Piemonte,6174
1271,Tavagnasco,TO,1,Torino,1,Piemonte,771
1272,Torino,TO,1,Torino,1,Piemonte,857910
1273,Torrazza Piemonte,TO,1,Torino,1,Piemonte,2971
1274,Torre Canavese,TO,1,Torino,1,Piemonte,603
1275,Torre Pellice,TO,1,Torino,1,Piemonte,4497
1276,Trana,TO,1,Torino,1,Piemonte,3809
1278,Traversella,TO,1,Torino,1,Piemonte,323
1279,Traves,TO,1,Torino,1,Piemonte,528
1280,Trofarello,TO,1,Torino,1,Piemonte,10823
1281,Usseaux,TO,1,Torino,1,Piemonte,189
1282,Usseglio,TO,1,Torino,1,Piemonte,200
1283,Vaie,TO,1,Torino,1,Piemonte,1414
1284,Val della Torre,TO,1,Torino,1,Piemonte,3964
1285,Valgioie,TO,1,Torino,1,Piemonte,915
1286,Vallo Torinese,TO,1,Torino,1,Piemonte,795
1287,Valperga,TO,1,Torino,1,Piemonte,3025
1288,Valprato Soana,TO,1,Torino,1,Piemonte,95
1289,Varisella,TO,1,Torino,1,Piemonte,852
1290,Vauda Canavese,TO,1,Torino,1,Piemonte,1458
1291,Venaus,TO,1,Torino,1,Piemonte,883
1292,Venaria Reale,TO,1,Torino,1,Piemonte,33134
1293,Verolengo,TO,1,Torino,1,Piemonte,4832
1294,Verrua Savoia,TO,1,Torino,1,Piemonte,1384
1295,Vestignè,TO,1,Torino,1,Piemonte,802
1296,Vialfrè,TO,1,Torino,1,Piemonte,247
1298,Vidracco,TO,1,Torino,1,Piemonte,510
1299,Vigone,TO,1,Torino,1,Piemonte,5134
1300,Villafranca Piemonte,TO,1,Torino,1,Piemonte,4593
1301,Villanova Canavese,TO,1,Torino,1,Piemonte,1213
1302,Villarbasse,TO,1,Torino,1,Piemonte,3500
1303,Villar Dora,TO,1,Torino,1,Piemonte,2832
1304,Villareggia,TO,1,Torino,1,Piemonte,1002
1305,Villar Focchiardo,TO,1,Torino,1,Piemonte,1939
1306,Villar Pellice,TO,1,Torino,1,Piemonte,1061
1307,Villar Perosa,TO,1,Torino,1,Piemonte,3998
1308,Villastellone,TO,1,Torino,1,Piemonte,4613
1309,Vinovo,TO,1,Torino,1,Piemonte,15102
1310,Virle Piemonte,TO,1,Torino,1,Piemonte,1149
1311,Vische,TO,1,Torino,1,Piemonte,1203
1312,Vistrorio,TO,1,Torino,1,Piemonte,519
1313,Viù,TO,1,Torino,1,Piemonte,1026
1314,Volpiano,TO,1,Torino,1,Piemonte,15386
1315,Volvera,TO,1,Torino,1,Piemonte,8555
1316,Mappano,TO,1,Torino,1,Piemonte,7425
1317,Val di Chy,TO,1,Torino,1,Piemonte,1283
1318,Valchiusa,TO,1,Torino,1,Piemonte,1030
2002,Alagna Valsesia,VC,2,Vercelli,1,Piemonte,730
2003,Albano Vercellese,VC,2,Vercelli,1,Piemonte,305
2004,Alice Castello,VC,2,Vercelli,1,Piemonte,2537
2006,Arborio,VC,2,Vercelli,1,Piemonte,862
2007,Asigliano Vercellese,VC,2,Vercelli,1,Piemonte,1405
2008,Balmuccia,VC,2,Vercelli,1,Piemonte,113
2009,Balocco,VC,2,Vercelli,1,Piemonte,210
2011,Bianzè,VC,2,Vercelli,1,Piemonte,1869
2014,Boccioleto,VC,2,Vercelli,1,Piemonte,168
2015,Borgo d'Ale,VC,2,Vercelli,1,Piemonte,2307
2016,Borgosesia,VC,2,Vercelli,1,Piemonte,12498
2017,Borgo Vercelli,VC,2,Vercelli,1,Piemonte,2206
2021,Buronzo,VC,2,Vercelli,1,Piemonte,845
2025,Campertogno,VC,2,Vercelli,1,Piemonte,231
2029,Carcoforo,VC,2,Vercelli,1,Piemonte,72
2030,Caresana,VC,2,Vercelli,1,Piemonte,1035
2031,Caresanablot,VC,2,Vercelli,1,Piemonte,1107
2032,Carisio,VC,2,Vercelli,1,Piemonte,766
2033,Casanova Elvo,VC,2,Vercelli,1,Piemonte,208
2035,San Giacomo Vercellese,VC,2,Vercelli,1,Piemonte,289
2041,Cervatto,VC,2,Vercelli,1,Piemonte,58
2042,Cigliano,VC,2,Vercelli,1,Piemonte,4371
2043,Civiasco,VC,2,Vercelli,1,Piemonte,252
2045,Collobiano,VC,2,Vercelli,1,Piemonte,88
2047,Costanzana,VC,2,Vercelli,1,Piemonte,746
2048,Cravagliana,VC,2,Vercelli,1,Piemonte,255
