,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
0,1001,1,1,Agliè,Torino,Piemonte,2621,TO,6.04054050993275,4.375348872307768,4.4049999713897705
1,1002,1,1,Airasca,Torino,Piemonte,3598,TO,5.3631111277474295,3.8012241931845194,4.392499923706055
2,1003,1,1,Ala di Stura,Torino,Piemonte,441,TO,0.5601515123112635,0.4146411129040471,0.4449999928474426
3,1004,1,1,Albiano d'Ivrea,Torino,Piemonte,1644,TO,3.0732031278312206,1.8617000036345666,2.357499837875366
4,1006,1,1,Almese,Torino,Piemonte,6426,TO,8.176435652345713,8.176363009529302,4.164999961853027
5,1007,1,1,Alpette,Torino,Piemonte,248,TO,1.6381666481494903,0.8089246391980365,1.375
6,1008,1,1,Alpignano,Torino,Piemonte,16945,TO,14.054318247419415,8.015742142497016,12.545000076293945
7,1009,1,1,Andezeno,Torino,Piemonte,2041,TO,5.957907030748767,4.105943997838733,4.414999961853027
8,1010,1,1,Andrate,Torino,Piemonte,492,TO,0.9037735900788937,0.45917781600970947,0.6549999713897705
9,1011,1,1,Angrogna,Torino,Piemonte,846,TO,0.5133561607637361,0.1826355562247561,0.4599999785423279
10,1012,1,1,Arignano,Torino,Piemonte,1081,TO,3.2425000098618595,2.17436366782495,2.1675000190734863
11,1013,1,1,Avigliana,Torino,Piemonte,12611,TO,10.64960627199158,9.820700366549413,6.244999885559082
12,1014,1,1,Azeglio,Torino,Piemonte,1244,TO,2.680789491586518,1.558674620643694,2.0299999713897705
13,1015,1,1,Bairo,Torino,Piemonte,797,TO,3.9799999952316285,2.3185219078558608,2.859999895095825
14,1016,1,1,Balangero,Torino,Piemonte,3153,TO,2.796907910390904,2.123088643897994,1.9375000596046448
15,1017,1,1,Baldissero Canavese,Torino,Piemonte,531,TO,2.8557692720339847,1.0402179754737422,2.6549999713897705
16,1018,1,1,Baldissero Torinese,Torino,Piemonte,3601,TO,4.755999999576145,1.7696946048327706,4.400000095367432
17,1019,1,1,Balme,Torino,Piemonte,114,TO,0.4862395509205821,0.3107476992680691,0.4099999964237213
18,1020,1,1,Banchette,Torino,Piemonte,3191,TO,11.499444643656412,5.573849457046706,14.25
19,1021,1,1,Barbania,Torino,Piemonte,1567,TO,2.3583108283377983,1.319974762228727,1.9124999642372131
