,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
1143,6161,6,1,Sezzadio,Alessandria,Piemonte,1239,AL,1.124774995148182,1.1873176831540988,0.7599999904632568
1144,6162,6,1,Silvano d'Orba,Alessandria,Piemonte,1890,AL,3.546428530556815,2.646667679246947,2.8924999237060547
1145,6163,6,1,Solero,Alessandria,Piemonte,1623,AL,3.0067537168958296,3.249632235680582,1.487500011920929
1146,6164,6,1,Solonghello,Alessandria,Piemonte,201,AL,1.2128571378333228,0.38844568285939174,1.0999999642372131
1147,6165,6,1,Spigno Monferrato,Alessandria,Piemonte,974,AL,0.7027722730888392,0.5190109325374941,0.5249999761581421
1148,6166,6,1,Spineto Scrivia,Alessandria,Piemonte,351,AL,1.9999999585358992,0.6227917243855995,1.9649999141693115
1149,6167,6,1,Stazzano,Alessandria,Piemonte,2391,AL,3.3307920942212097,4.792755107323045,1.6649999618530273
1150,6168,6,1,Strevi,Alessandria,Piemonte,1896,AL,2.0021686891475357,1.3819940061102765,1.3049999475479126
1151,6169,6,1,Tagliolo Monferrato,Alessandria,Piemonte,1542,AL,1.4609790265143334,1.6658661140911633,0.7150000333786011
1152,6170,6,1,Tassarolo,Alessandria,Piemonte,613,AL,1.6889024420482357,0.6172297548921326,1.4800000190734863
1153,6171,6,1,Terruggia,Alessandria,Piemonte,926,AL,2.7641860385273778,1.4530948943052004,2.2750000953674316
1154,6172,6,1,Terzo,Alessandria,Piemonte,853,AL,2.625425544190914,2.590323635944704,0.9650000333786011
1155,6173,6,1,Ticineto,Alessandria,Piemonte,1342,AL,2.7600000627497407,2.5753304909448,1.3250000476837158
1156,6174,6,1,Tortona,Alessandria,Piemonte,27411,AL,7.137615667755494,8.873244918607323,3.2774999141693115
1157,6175,6,1,Treville,Alessandria,Piemonte,273,AL,1.6963793203748505,0.9448516670004476,1.2450000047683716
1158,6176,6,1,Trisobbio,Alessandria,Piemonte,675,AL,1.2801086954448535,0.6050696035300951,1.0550000071525574
1159,6177,6,1,Valenza,Alessandria,Piemonte,18537,AL,4.597216126027998,7.442187548383323,1.565000057220459
1160,6178,6,1,Valmacca,Alessandria,Piemonte,977,AL,1.3306249934766028,0.8428506146911234,0.8974999785423279
1161,6179,6,1,Vignale Monferrato,Alessandria,Piemonte,963,AL,1.7109433823036697,1.5078128000352355,1.237500011920929
1162,6180,6,1,Vignole Borbera,Alessandria,Piemonte,2054,AL,4.724782648293869,4.176740432728618,3.445000171661377
1163,6181,6,1,Viguzzolo,Alessandria,Piemonte,3084,AL,3.482549002357558,4.017084991556352,1.6575000286102295
1164,6182,6,1,Villadeati,Alessandria,Piemonte,477,AL,1.070555559646936,0.30996017185749697,0.9600000381469727
1165,6183,6,1,Villalvernia,Alessandria,Piemonte,891,AL,3.496153868161715,1.8258266456621,2.9375
1166,6184,6,1,Villamiroglio,Alessandria,Piemonte,297,AL,0.9275833328564962,0.37955510176881224,0.7949999868869781
1167,6185,6,1,Villanova Monferrato,Alessandria,Piemonte,1796,AL,2.6871649524600234,2.9962591133649688,1.2050000429153442
1168,6186,6,1,Villaromagnano,Alessandria,Piemonte,659,AL,2.5341666837533317,1.5944576256367475,1.7625000476837158
1169,6187,6,1,Visone,Alessandria,Piemonte,1191,AL,1.6602777681416936,1.2110795924189797,1.149999976158142
1170,6188,6,1,Volpedo,Alessandria,Piemonte,1177,AL,1.6872806789582235,1.5346223143721875,1.2599999904632568
1171,6189,6,1,Volpeglino,Alessandria,Piemonte,129,AL,3.1990476676395962,1.5094067284125265,3.1449999809265137
1172,7033,7,2,Gressoney-Saint-Jean,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,812,AO,0.9706045380167156,1.1156030195876994,0.5850000381469727
1173,7034,7,2,Hône,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1189,AO,1.447464775031721,1.9473010583870551,0.6100000143051147
1174,7035,7,2,Introd,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,661,AO,1.1604128474489264,1.421814197066414,0.5249999761581421
1175,7036,7,2,Issime,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,407,AO,1.1190441160225402,1.609029277669945,0.5
1176,7037,7,2,Issogne,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1349,AO,1.1711481471856435,1.9224574311235156,0.4749999940395355
1177,7038,7,2,Jovençan,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,723,AO,2.787631580704137,2.85142671298245,1.4074999690055847
1178,7039,7,2,La Magdeleine,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,109,AO,0.9949999908183483,0.732344651881856,0.6799999475479126
1179,7040,7,2,La Salle,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,2001,AO,0.957060038981724,1.2896379726837968,0.48500001430511475
1180,7041,7,2,La Thuile,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,812,AO,0.7877140846617973,1.6324886309243958,0.4375
1181,7042,7,2,Lillianes,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,445,AO,1.0803703621581748,1.058266977744621,0.5699999928474426
